,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix,refix,reread
0,1.0,1.0,1.0,In,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,2.0,ancient,en,en_83,0.0,220.0,351.0,664.0,2.0,3.0,1.0,1.0
2,1.0,1.0,3.0,Roman,en,en_83,0.0,208.0,208.0,208.0,1.0,1.0,0.0,0.0
3,1.0,1.0,4.0,religion,en,en_83,0.0,451.0,451.0,451.0,1.0,1.0,0.0,0.0
4,1.0,1.0,5.0,and,en,en_83,0.0,176.0,176.0,176.0,1.0,1.0,0.0,0.0
5,1.0,1.0,6.0,"myth,",en,en_83,0.0,191.0,191.0,191.0,1.0,1.0,0.0,0.0
6,1.0,1.0,7.0,Janus,en,en_83,0.0,296.0,296.0,436.0,1.0,2.0,0.0,1.0
7,1.0,1.0,8.0,is,en,en_83,0.0,167.0,167.0,328.0,1.0,2.0,0.0,1.0
8,1.0,1.0,9.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,1.0,10.0,god,en,en_83,0.0,217.0,217.0,217.0,1.0,1.0,0.0,0.0
10,1.0,1.0,11.0,of,en,en_83,0.0,150.0,150.0,150.0,1.0,1.0,0.0,0.0
11,1.0,1.0,12.0,beginnings,en,en_83,0.0,184.0,312.0,772.0,2.0,4.0,1.0,1.0
12,1.0,1.0,13.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,1.0,14.0,gates.,en,en_83,0.0,226.0,226.0,677.0,1.0,3.0,1.0,1.0
14,1.0,2.0,15.0,He,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,2.0,16.0,has,en,en_83,0.0,158.0,158.0,158.0,1.0,1.0,0.0,0.0
16,1.0,2.0,17.0,a,en,en_83,0.0,198.0,198.0,198.0,1.0,1.0,0.0,0.0
17,1.0,2.0,18.0,double,en,en_83,0.0,320.0,320.0,494.0,1.0,2.0,0.0,1.0
18,1.0,2.0,19.0,nature,en,en_83,0.0,93.0,93.0,369.0,1.0,2.0,0.0,1.0
19,1.0,2.0,20.0,and,en,en_83,0.0,151.0,151.0,151.0,1.0,1.0,0.0,0.0
20,1.0,2.0,21.0,is,en,en_83,0.0,91.0,91.0,91.0,1.0,1.0,0.0,0.0
21,1.0,2.0,22.0,usually,en,en_83,0.0,212.0,212.0,212.0,1.0,1.0,0.0,0.0
22,1.0,2.0,23.0,depicted,en,en_83,0.0,106.0,106.0,551.0,1.0,3.0,0.0,1.0
23,1.0,2.0,24.0,as,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
