,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,refix,reread
0,1.0,1.0,1.0,In,en,en_26,0.0,20.0,20.0,20.0,1.0,1.0,0.0,0.0
1,1.0,1.0,2.0,ancient,en,en_26,0.0,196.0,462.0,884.0,2.0,4.0,1.0,1.0
2,1.0,1.0,3.0,Roman,en,en_26,0.0,204.0,204.0,450.0,1.0,2.0,0.0,1.0
3,1.0,1.0,4.0,religion,en,en_26,0.0,276.0,473.0,716.0,2.0,3.0,1.0,1.0
4,1.0,1.0,5.0,and,en,en_26,0.0,321.0,321.0,321.0,1.0,1.0,0.0,0.0
5,1.0,1.0,6.0,"myth,",en,en_26,0.0,379.0,379.0,701.0,1.0,2.0,0.0,1.0
6,1.0,1.0,7.0,Janus,en,en_26,0.0,302.0,753.0,1449.0,2.0,5.0,1.0,1.0
7,1.0,1.0,8.0,is,en,en_26,0.0,200.0,200.0,200.0,1.0,1.0,0.0,0.0
8,1.0,1.0,9.0,the,en,en_26,0.0,200.0,200.0,532.0,1.0,3.0,0.0,1.0
9,1.0,1.0,10.0,god,en,en_26,0.0,151.0,151.0,151.0,1.0,1.0,0.0,0.0
10,1.0,1.0,11.0,of,en,en_26,0.0,213.0,213.0,213.0,1.0,1.0,0.0,0.0
11,1.0,1.0,12.0,beginnings,en,en_26,0.0,172.0,172.0,2124.0,1.0,9.0,1.0,1.0
12,1.0,1.0,13.0,and,en,en_26,0.0,228.0,228.0,866.0,1.0,4.0,1.0,1.0
13,1.0,1.0,14.0,gates.,en,en_26,0.0,183.0,183.0,536.0,1.0,3.0,0.0,1.0
14,1.0,2.0,15.0,He,en,en_26,0.0,213.0,213.0,213.0,1.0,1.0,0.0,0.0
15,1.0,2.0,16.0,has,en,en_26,0.0,215.0,215.0,424.0,1.0,2.0,0.0,1.0
16,1.0,2.0,17.0,a,en,en_26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,2.0,18.0,double,en,en_26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,2.0,19.0,nature,en,en_26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,2.0,20.0,and,en,en_26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,2.0,21.0,is,en,en_26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.0,2.0,22.0,usually,en,en_26,0.0,451.0,451.0,775.0,1.0,3.0,1.0,1.0
22,1.0,2.0,23.0,depicted,en,en_26,0.0,148.0,148.0,817.0,1.0,4.0,1.0,1.0
23,1.0,2.0,24.0,as,en,en_26,0.0,418.0,418.0,810.0,1.0,3.0,1.0,1.0
24,1.0,2.0,25.0,having,en,en_26,0.0,257.0,530.0,985.0,2.0,4.0,1.0,1.0
