,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,refix,reread
0,1.0,1.0,1.0,Negli,it,it_44,0.0,207.0,207.0,207.0,1.0,1.0,0.0,0.0
1,1.0,1.0,2.0,antichi,it,it_44,0.0,177.0,272.0,501.0,2.0,3.0,1.0,1.0
2,1.0,1.0,3.0,miti,it,it_44,0.0,286.0,286.0,589.0,1.0,3.0,0.0,1.0
3,1.0,7.0,132.0,tipi,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,7.0,133.0,di,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,7.0,134.0,inizi.,it,it_44,0.0,256.0,256.0,406.0,1.0,2.0,0.0,1.0
6,1.0,8.0,135.0,Giano,it,it_44,0.0,122.0,122.0,603.0,1.0,3.0,0.0,1.0
7,1.0,8.0,136.0,non,it,it_44,0.0,187.0,187.0,187.0,1.0,1.0,0.0,0.0
8,1.0,8.0,137.0,aveva,it,it_44,0.0,295.0,295.0,295.0,1.0,1.0,0.0,0.0
9,1.0,8.0,138.0,sacerdoti,it,it_44,0.0,141.0,141.0,604.0,1.0,2.0,0.0,1.0
10,1.0,8.0,139.0,specificatamente,it,it_44,0.0,151.0,151.0,493.0,1.0,3.0,1.0,1.0
11,1.0,8.0,140.0,assegnati,it,it_44,0.0,244.0,244.0,244.0,1.0,1.0,0.0,0.0
12,1.0,8.0,141.0,a,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,8.0,142.0,"sé,",it,it_44,0.0,239.0,239.0,239.0,1.0,1.0,0.0,0.0
14,1.0,8.0,143.0,ma,it,it_44,0.0,235.0,235.0,235.0,1.0,1.0,0.0,0.0
15,1.0,8.0,144.0,l’alto,it,it_44,0.0,243.0,243.0,816.0,1.0,4.0,1.0,1.0
16,1.0,8.0,145.0,sacerdote,it,it_44,0.0,204.0,204.0,204.0,1.0,1.0,0.0,0.0
17,1.0,8.0,146.0,stesso,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,8.0,147.0,presiedeva,it,it_44,0.0,239.0,536.0,774.0,2.0,3.0,1.0,1.0
19,1.0,8.0,148.0,le,it,it_44,0.0,276.0,276.0,506.0,1.0,2.0,0.0,1.0
20,1.0,8.0,149.0,sue,it,it_44,0.0,288.0,288.0,599.0,1.0,3.0,0.0,1.0
21,1.0,8.0,150.0,cerimonie.,it,it_44,0.0,115.0,359.0,359.0,2.0,2.0,1.0,0.0
22,1.0,9.0,151.0,Giano,it,it_44,0.0,184.0,184.0,184.0,1.0,1.0,0.0,0.0
23,1.0,9.0,152.0,rappresentava,it,it_44,0.0,151.0,151.0,373.0,1.0,2.0,0.0,1.0
24,1.0,9.0,153.0,la,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,9.0,154.0,via,it,it_44,0.0,243.0,243.0,243.0,1.0,1.0,0.0,0.0
26,1.0,9.0,155.0,di,it,it_44,0.0,290.0,290.0,290.0,1.0,1.0,0.0,0.0
27,1.0,9.0,156.0,mezzo,it,it_44,0.0,387.0,387.0,387.0,1.0,1.0,0.0,0.0
28,1.0,9.0,157.0,tra,it,it_44,0.0,246.0,246.0,246.0,1.0,1.0,0.0,0.0
29,1.0,9.0,158.0,civiltà,it,it_44,0.0,94.0,94.0,94.0,1.0,1.0,0.0,0.0
30,1.0,9.0,159.0,e,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,9.0,160.0,"barbarie,",it,it_44,0.0,334.0,334.0,334.0,1.0,1.0,0.0,0.0
32,1.0,9.0,161.0,spazio,it,it_44,0.0,322.0,322.0,322.0,1.0,1.0,0.0,0.0
33,1.0,9.0,162.0,urbano,it,it_44,0.0,167.0,379.0,379.0,2.0,2.0,1.0,0.0
34,1.0,9.0,163.0,e,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1.0,9.0,164.0,"rurale,",it,it_44,0.0,249.0,249.0,249.0,1.0,1.0,0.0,0.0
36,1.0,9.0,165.0,giovinezza,it,it_44,0.0,299.0,299.0,299.0,1.0,1.0,0.0,0.0
37,1.0,9.0,166.0,e,it,it_44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.0,9.0,167.0,età,it,it_44,0.0,147.0,147.0,147.0,1.0,1.0,0.0,0.0
39,1.0,9.0,168.0,adulta.,it,it_44,0.0,221.0,221.0,221.0,1.0,1.0,0.0,0.0
40,1.0,10.0,169.0,Gli,it,it_44,0.0,129.0,129.0,287.0,1.0,2.0,0.0,1.0
41,1.0,10.0,170.0,antichi,it,it_44,0.0,201.0,365.0,583.0,2.0,4.0,1.0,1.0
42,1.0,10.0,171.0,greci,it,it_44,0.0,170.0,170.0,422.0,1.0,3.0,0.0,1.0
43,1.0,10.0,172.0,non,it,it_44,0.0,190.0,190.0,190.0,1.0,1.0,0.0,0.0
44,1.0,10.0,173.0,avevano,it,it_44,0.0,205.0,205.0,852.0,1.0,4.0,1.0,1.0
