,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,dur,firstrun_nfix,nfix,firstrun_dur
0,pp29,1.0,5.0,0.0,The,118.0,118.0,1.0,1.0,118.0
1,pp29,1.0,5.0,1.0,intense,87.0,87.0,1.0,1.0,87.0
2,pp29,1.0,5.0,2.0,interest,211.0,410.0,1.0,2.0,211.0
3,pp29,1.0,5.0,3.0,aroused,193.0,385.0,1.0,2.0,193.0
4,pp29,1.0,5.0,4.0,in,0.0,0.0,0.0,0.0,0.0
5,pp29,1.0,5.0,5.0,the,168.0,168.0,1.0,1.0,168.0
6,pp29,1.0,5.0,6.0,public,245.0,385.0,1.0,2.0,245.0
7,pp29,1.0,5.0,7.0,by,150.0,150.0,1.0,1.0,150.0
8,pp29,1.0,5.0,8.0,what,176.0,176.0,1.0,1.0,176.0
9,pp29,1.0,5.0,9.0,was,191.0,191.0,1.0,1.0,191.0
10,pp29,1.0,5.0,10.0,known,175.0,175.0,1.0,1.0,175.0
11,pp29,1.0,5.0,11.0,at,0.0,0.0,0.0,0.0,0.0
12,pp29,1.0,5.0,12.0,the,0.0,0.0,0.0,0.0,0.0
13,pp29,1.0,5.0,13.0,time,240.0,467.0,1.0,2.0,240.0
14,pp29,1.0,5.0,14.0,as,0.0,0.0,0.0,0.0,0.0
15,pp29,1.0,5.0,15.0,'The,0.0,0.0,0.0,0.0,0.0
16,pp29,1.0,5.0,16.0,Styles,32.0,447.0,1.0,3.0,32.0
17,pp29,1.0,5.0,17.0,Case',204.0,300.0,1.0,2.0,204.0
18,pp29,1.0,5.0,18.0,has,0.0,0.0,0.0,0.0,0.0
19,pp29,1.0,5.0,19.0,now,147.0,147.0,1.0,1.0,147.0
20,pp29,1.0,5.0,20.0,somewhat,212.0,353.0,2.0,2.0,378.0
21,pp29,1.0,5.0,21.0,subsided.,254.0,426.0,2.0,2.0,446.0
22,pp29,1.0,5.0,22.0,"Nevertheless,",247.0,449.0,1.0,2.0,247.0
23,pp29,1.0,5.0,23.0,in,0.0,0.0,0.0,0.0,0.0
24,pp29,1.0,5.0,24.0,view,287.0,287.0,1.0,1.0,287.0
25,pp29,1.0,5.0,25.0,of,0.0,0.0,0.0,0.0,0.0
26,pp29,1.0,5.0,26.0,the,0.0,0.0,0.0,0.0,0.0
27,pp29,1.0,5.0,27.0,world-wide,152.0,332.0,2.0,2.0,352.0
28,pp29,1.0,5.0,28.0,notoriety,371.0,567.0,2.0,2.0,581.0
29,pp29,1.0,5.0,29.0,which,178.0,178.0,1.0,1.0,178.0
30,pp29,1.0,5.0,30.0,attended,158.0,158.0,1.0,1.0,158.0
31,pp29,1.0,5.0,31.0,"it,",0.0,0.0,0.0,0.0,0.0
32,pp29,1.0,5.0,32.0,I,0.0,0.0,0.0,0.0,0.0
33,pp29,1.0,5.0,33.0,have,113.0,113.0,1.0,1.0,113.0
34,pp29,1.0,5.0,34.0,been,0.0,0.0,0.0,0.0,0.0
35,pp29,1.0,5.0,35.0,"asked,",240.0,240.0,1.0,1.0,240.0
36,pp29,1.0,5.0,36.0,both,0.0,0.0,0.0,0.0,0.0
37,pp29,1.0,5.0,37.0,by,0.0,0.0,0.0,0.0,0.0
38,pp29,1.0,5.0,38.0,my,284.0,284.0,1.0,1.0,284.0
39,pp29,1.0,5.0,39.0,friend,0.0,0.0,0.0,0.0,0.0
40,pp29,1.0,5.0,40.0,Poirot,244.0,244.0,1.0,1.0,244.0
41,pp29,1.0,5.0,41.0,and,162.0,162.0,1.0,1.0,162.0
42,pp29,1.0,5.0,42.0,the,0.0,0.0,0.0,0.0,0.0
43,pp29,1.0,5.0,43.0,family,160.0,160.0,1.0,1.0,160.0
