,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,dur,firstrun_nfix,nfix,firstrun_dur
0,pp23,1.0,5.0,0.0,The,259.0,259.0,1.0,3.0,259.0
1,pp23,1.0,5.0,1.0,intense,149.0,596.0,3.0,3.0,645.0
2,pp23,1.0,5.0,2.0,interest,220.0,220.0,1.0,1.0,220.0
3,pp23,1.0,5.0,3.0,aroused,143.0,272.0,2.0,2.0,297.0
4,pp23,1.0,5.0,4.0,in,162.0,162.0,1.0,1.0,162.0
5,pp23,1.0,5.0,5.0,the,92.0,92.0,1.0,1.0,92.0
6,pp23,1.0,5.0,6.0,public,190.0,190.0,1.0,1.0,190.0
7,pp23,1.0,5.0,7.0,by,214.0,214.0,1.0,1.0,214.0
8,pp23,1.0,5.0,8.0,what,0.0,0.0,0.0,0.0,0.0
9,pp23,1.0,5.0,9.0,was,0.0,0.0,0.0,0.0,0.0
10,pp23,1.0,5.0,10.0,known,0.0,0.0,0.0,0.0,0.0
11,pp23,1.0,5.0,11.0,at,0.0,0.0,0.0,0.0,0.0
12,pp23,1.0,5.0,12.0,the,0.0,0.0,0.0,0.0,0.0
13,pp23,1.0,5.0,13.0,time,0.0,0.0,0.0,0.0,0.0
14,pp23,1.0,5.0,14.0,as,0.0,0.0,0.0,0.0,0.0
15,pp23,1.0,5.0,15.0,'The,0.0,0.0,0.0,0.0,0.0
16,pp23,1.0,5.0,16.0,Styles,212.0,212.0,1.0,1.0,212.0
17,pp23,1.0,5.0,17.0,Case',113.0,113.0,1.0,2.0,113.0
18,pp23,1.0,5.0,18.0,has,0.0,0.0,0.0,0.0,0.0
19,pp23,1.0,5.0,19.0,now,190.0,190.0,1.0,1.0,190.0
20,pp23,1.0,5.0,20.0,somewhat,61.0,158.0,2.0,2.0,348.0
21,pp23,1.0,5.0,21.0,subsided.,194.0,194.0,1.0,1.0,194.0
22,pp23,1.0,5.0,22.0,"Nevertheless,",142.0,142.0,1.0,2.0,142.0
23,pp23,1.0,5.0,23.0,in,0.0,0.0,0.0,0.0,0.0
24,pp23,1.0,5.0,24.0,view,143.0,143.0,1.0,1.0,143.0
25,pp23,1.0,5.0,25.0,of,0.0,0.0,0.0,0.0,0.0
26,pp23,1.0,5.0,26.0,the,0.0,0.0,0.0,0.0,0.0
27,pp23,1.0,5.0,27.0,world-wide,81.0,81.0,1.0,1.0,81.0
28,pp23,1.0,5.0,28.0,notoriety,114.0,264.0,2.0,2.0,302.0
29,pp23,1.0,5.0,29.0,which,141.0,141.0,1.0,1.0,141.0
30,pp23,1.0,5.0,30.0,attended,124.0,124.0,1.0,2.0,124.0
31,pp23,1.0,5.0,31.0,"it,",272.0,272.0,1.0,1.0,272.0
32,pp23,1.0,5.0,32.0,I,110.0,110.0,1.0,1.0,110.0
33,pp23,1.0,5.0,33.0,have,0.0,0.0,0.0,0.0,0.0
34,pp23,1.0,5.0,34.0,been,207.0,207.0,1.0,1.0,207.0
35,pp23,1.0,5.0,35.0,"asked,",131.0,131.0,1.0,1.0,131.0
36,pp23,1.0,5.0,36.0,both,60.0,60.0,1.0,1.0,60.0
37,pp23,1.0,5.0,37.0,by,109.0,109.0,1.0,2.0,109.0
38,pp23,1.0,5.0,38.0,my,254.0,254.0,1.0,1.0,254.0
39,pp23,1.0,5.0,39.0,friend,177.0,177.0,1.0,2.0,177.0
40,pp23,1.0,5.0,40.0,Poirot,176.0,176.0,1.0,2.0,176.0
41,pp23,1.0,5.0,41.0,and,161.0,161.0,1.0,1.0,161.0
42,pp23,1.0,5.0,42.0,the,301.0,301.0,1.0,1.0,301.0
43,pp23,1.0,5.0,43.0,family,369.0,369.0,1.0,1.0,369.0
44,pp23,1.0,5.0,44.0,"themselves,",99.0,99.0,1.0,2.0,99.0
45,pp23,1.0,5.0,45.0,to,231.0,231.0,1.0,1.0,231.0
